station_id	stationname	date	daytype	rides
41490	Harrison	09/06/2021	U	1573
41490	Harrison	09/07/2021	W	2244
41490	Harrison	09/08/2021	W	2416
41490	Harrison	09/09/2021	W	2438
41490	Harrison	09/10/2021	W	2815
41490	Harrison	09/11/2021	A	2737
41490	Harrison	09/12/2021	U	1892
41490	Harrison	09/13/2021	W	2208
41490	Harrison	09/14/2021	W	2403
41490	Harrison	09/15/2021	W	2480
41490	Harrison	09/16/2021	W	2754
41490	Harrison	09/17/2021	W	3036
41490	Harrison	09/18/2021	A	2557
41490	Harrison	09/19/2021	U	1915
41490	Harrison	09/20/2021	W	2138
41490	Harrison	09/21/2021	W	2373
41490	Harrison	09/22/2021	W	2435
41490	Harrison	09/23/2021	W	2405
41490	Harrison	09/24/2021	W	2889
41490	Harrison	09/25/2021	A	3236
41490	Harrison	09/26/2021	U	1602
41490	Harrison	09/27/2021	W	2226
41490	Harrison	09/28/2021	W	2281
41490	Harrison	09/29/2021	W	2488
41490	Harrison	09/30/2021	W	2480
41500	Montrose-Brown	09/01/2021	W	1033
41500	Montrose-Brown	09/02/2021	W	1073
41500	Montrose-Brown	09/03/2021	W	1082
41500	Montrose-Brown	09/04/2021	A	758
41500	Montrose-Brown	09/05/2021	U	672
41500	Montrose-Brown	09/06/2021	U	442
41500	Montrose-Brown	09/07/2021	W	994
41500	Montrose-Brown	09/08/2021	W	1045
41500	Montrose-Brown	09/09/2021	W	1157
41500	Montrose-Brown	09/10/2021	W	1172
41500	Montrose-Brown	09/11/2021	A	995
41500	Montrose-Brown	09/12/2021	U	675
41500	Montrose-Brown	09/13/2021	W	1057
41500	Montrose-Brown	09/14/2021	W	1138
41500	Montrose-Brown	09/15/2021	W	1197
41500	Montrose-Brown	09/16/2021	W	1198
41500	Montrose-Brown	09/17/2021	W	1202
41500	Montrose-Brown	09/18/2021	A	1010
41500	Montrose-Brown	09/19/2021	U	616
41500	Montrose-Brown	09/20/2021	W	964
41500	Montrose-Brown	09/21/2021	W	1156
41500	Montrose-Brown	09/22/2021	W	1142
41500	Montrose-Brown	09/23/2021	W	1152
41500	Montrose-Brown	09/24/2021	W	1195
41500	Montrose-Brown	09/25/2021	A	854
41500	Montrose-Brown	09/26/2021	U	623
41500	Montrose-Brown	09/27/2021	W	1052
41500	Montrose-Brown	09/28/2021	W	1134
41500	Montrose-Brown	09/29/2021	W	1147
41500	Montrose-Brown	09/30/2021	W	1164
41510	Morgan-Lake	09/01/2021	W	1747
41510	Morgan-Lake	09/02/2021	W	1908
41510	Morgan-Lake	09/03/2021	W	2076
41510	Morgan-Lake	09/04/2021	A	2358
41510	Morgan-Lake	09/05/2021	U	2235
41510	Morgan-Lake	09/06/2021	U	1295
41510	Morgan-Lake	09/07/2021	W	1496
41510	Morgan-Lake	09/08/2021	W	1808
41510	Morgan-Lake	09/09/2021	W	1993
41510	Morgan-Lake	09/10/2021	W	2506
41510	Morgan-Lake	09/11/2021	A	2405
41510	Morgan-Lake	09/12/2021	U	1805
41510	Morgan-Lake	09/13/2021	W	1490
41510	Morgan-Lake	09/14/2021	W	1708
41510	Morgan-Lake	09/15/2021	W	1944
41510	Morgan-Lake	09/16/2021	W	2547
41510	Morgan-Lake	09/17/2021	W	2887
41510	Morgan-Lake	09/18/2021	A	3048
41510	Morgan-Lake	09/19/2021	U	2256
41510	Morgan-Lake	09/20/2021	W	1583
41510	Morgan-Lake	09/21/2021	W	1710
41510	Morgan-Lake	09/22/2021	W	1791
41510	Morgan-Lake	09/23/2021	W	1919
41510	Morgan-Lake	09/24/2021	W	2613
41510	Morgan-Lake	09/25/2021	A	2878
41510	Morgan-Lake	09/26/2021	U	1655
41510	Morgan-Lake	09/27/2021	W	1581
41510	Morgan-Lake	09/28/2021	W	1750
41510	Morgan-Lake	09/29/2021	W	1791
41510	Morgan-Lake	09/30/2021	W	1935
41660	Lake/State	09/01/2021	W	7509
41660	Lake/State	09/02/2021	W	8293
41660	Lake/State	09/03/2021	W	8708
41660	Lake/State	09/04/2021	A	8189
41660	Lake/State	09/05/2021	U	8049
41660	Lake/State	09/06/2021	U	5540
41660	Lake/State	09/07/2021	W	7168
41660	Lake/State	09/08/2021	W	7693
41660	Lake/State	09/09/2021	W	7729
41660	Lake/State	09/10/2021	W	10135
41660	Lake/State	09/11/2021	A	9074
41660	Lake/State	09/12/2021	U	6924
41660	Lake/State	09/13/2021	W	6823
41660	Lake/State	09/14/2021	W	7565
41660	Lake/State	09/15/2021	W	7991
41660	Lake/State	09/16/2021	W	10402
41660	Lake/State	09/17/2021	W	10696
41660	Lake/State	09/18/2021	A	9320
41660	Lake/State	09/19/2021	U	6440
41660	Lake/State	09/20/2021	W	6795
41660	Lake/State	09/21/2021	W	7866
41660	Lake/State	09/22/2021	W	7950
41660	Lake/State	09/23/2021	W	8100
41660	Lake/State	09/24/2021	W	11030
41660	Lake/State	09/25/2021	A	9751
41660	Lake/State	09/26/2021	U	6041
41660	Lake/State	09/27/2021	W	6852
41660	Lake/State	09/28/2021	W	7386
41660	Lake/State	09/29/2021	W	7670
41660	Lake/State	09/30/2021	W	7869
41670	Conservatory	09/01/2021	W	592
41670	Conservatory	09/02/2021	W	528
41670	Conservatory	09/03/2021	W	604
41670	Conservatory	09/04/2021	A	485
41670	Conservatory	09/05/2021	U	488
41670	Conservatory	09/06/2021	U	322
41670	Conservatory	09/07/2021	W	468
41670	Conservatory	09/08/2021	W	598
41670	Conservatory	09/09/2021	W	542
41670	Conservatory	09/10/2021	W	644
41670	Conservatory	09/11/2021	A	447
41670	Conservatory	09/12/2021	U	386
41670	Conservatory	09/13/2021	W	463
41670	Conservatory	09/14/2021	W	501
41670	Conservatory	09/15/2021	W	556
41670	Conservatory	09/16/2021	W	542
41670	Conservatory	09/17/2021	W	554
41670	Conservatory	09/18/2021	A	422
41670	Conservatory	09/19/2021	U	440
41670	Conservatory	09/20/2021	W	487
41670	Conservatory	09/21/2021	W	445
41670	Conservatory	09/22/2021	W	520
41670	Conservatory	09/23/2021	W	561
